BOURBLE | 2 ounces bourbon + 1/2 ounce lemon juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BERNARDO | 2 ounces gin + 2 teaspoons lemon juice + 1/2 ounce Cointreau or triple sec + 2 dashes bitters + 1 lemon twist | In a shaker half-filled with ice cubes, combine the gin, Cointreau, lemon juice, and bitters. Shake well. Strain into a cocktail glass and garnish with the lemon twist. | Cocktail Glass
BITCH-ON-WHEELS | 2 ounces gin + 1 teaspoon Pernod + 1/2 ounce dry vermouth + 1/2 ounce white crème de menthe | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BLUEBIRD | + Crushed ice + 1/2 ounce blue Curaçao + 1 1/2 ounces gin + 2 dashes bitters + 1/2 ounce Cointreau or triple sec + 1 lemon twist + 1 maraschino cherry | In a mixing glass half-filled with crushed ice, combine the gin, Cointreau, Curaçao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry. | Cocktail Glass
BLUE COWBOY | + Crushed ice + 1/2 ounce blue Curaçao + 1 1/2 ounces gin | In a mixing glass half-filled with crushed ice, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BOOMERANG | 2 ounces gin + 1/2 ounce dry vermouth + 2 dashes bitters + 1/2 teaspoon maraschino liqueur + 1 maraschino cherry | In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry. | Cocktail Glass
BOXCAR | 1 1/2 ounces gin + 1 teaspoon lemon juice + 1 ounce Cointreau or triple sec + 1/2 teaspoon grenadine + 1 egg white | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass. | Sour Glass
THE BRONX AINT SO SWEET | 1 1/2 ounces gin + 1/2 ounce orange juice + 1 teaspoon dry vermouth | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BRONX COCKTAIL | 2 ounces gin + 1/2 ounce orange juice + 1 teaspoon dry vermouth + 1 teaspoon sweet vermouth | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CABARET | 1 ounce gin + 2 dashes bitters + 1/2 ounce dry vermouth + 1 maraschino cherry + 1/2 ounce Bènèdictine | In a shaker half-filled with ice cubes, combine the gin, vermouth, Bènèdictine, and bitters. Shake well. Strain into a cocktail glass and garnish with the cherry. | Cocktail Glass
CAFÉ DE PARIS | 2 ounces gin + 1 egg white + 1/2 ounce anisette + 1 ounce heavy cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass. | Sour Glass
CAPTAIN COOK | 1 1/2 ounces gin + 1 ounce orange juice + 1/2 ounce maraschino liqueur | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CAPTAIN’S TABLE | 2 ounces gin + 1 ounce orange juice + 1/2 ounce Campari + 4 ounces ginger ale + 1 teaspoon grenadine + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the gin, Campari, grenadine, and orange juice. Shake well. Pour into a collins glass almost filled with ice cubes. Top with the ginger ale. Garnish with the cherry. | Collins Glass
CAROLI | + Crushed ice + 1/2 ounce apricot brandy + 2 ounces gin + 1 dash orange bitters | In a mixing glass half-filled with crushed ice, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
CARUSO | 1 1/2 ounces gin + 1 ounce green crème de menthe + 1 ounce dry vermouth | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
CARUSO BLANCO | 1 1/2 ounces gin + 1 ounce white crème de menthe + 1 ounce dry vermouth | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
CASINO | 2 ounces gin + 1/2 ounce lemon juice + 1 teaspoon maraschino liqueur + 2 dashes orange bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CASINO ROYALE | 2 ounces gin + 1 dash orange bitters + 1/2 ounce lemon juice + 1 egg yolk + 1 teaspoon maraschino liqueur | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass. | Sour Glass
CHELSEA HOTEL | 1 1/2 ounces gin + 2 teaspoons lemon juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CONFIRMED BACHELOR | + Crushed ice + 1/2 teaspoon Rose’s lime + 1 1/2 ounces gin juice + 1 teaspoon grenadine + 1 egg white | In a shaker half-filled with crushed ice, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CRIMSON SUNSET | 2 ounces gin + 1/2 teaspoon grenadine + 2 teaspoons lemon juice + 1/2 ounce tawny port | In a shaker half-filled with ice cubes, combine the gin and lemon juice. Shake well. Strain into a cocktail glass. Drop the grenadine into the center of the drink and float the port on the top. | Cocktail Glass
DELMONICO COCKTAIL | 1 ounce gin + 1/2 ounce dry vermouth + 1/2 ounce brandy + 1 dash bitters + 1/2 ounce sweet vermouth + 1 lemon twist | In a mixing glass half-filled with ice cubes, combine the gin, brandy, sweet vermouth, dry vermouth, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist. | Cocktail Glass
DIRTY DICK’S DOWNFALL | 2 ounces gin + 1/2 ounce Campari + 1/2 ounce dry vermouth + 1 lemon twist | In a mixing glass half-filled with ice cubes, combine the gin, vermouth, and Campari. Stir well. Strain into a cocktail glass and garnish with the lemon twist. | Cocktail Glass
DRAGONFLY | 1 1/2 ounces gin + 1 lime wedge + 4 ounces ginger ale | In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge. | Highball Glass
EMERALD FOREST | + Crushed ice + 1 teaspoon white crème de menthe + 1 1/2 ounces gin + 1 teaspoon green crème de menthe | In a mixing glass half-filled with crushed ice, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
EMERALD ISLE | + Crushed ice + 2 ounces gin + 2 teaspoons green crème de menthe + 1 dash bitters | In a mixing glass half-filled with crushed ice, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
EMERSON | 2 ounces gin + 1 ounce sweet vermouth + 1 teaspoon maraschino liqueur + 2 teaspoons lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
EUROPEAN | 1 ounce gin + 1/2 ounce dry vermouth + 1/2 ounce cream sherry + 1/2 teaspoon Grand Marnier + 1/2 ounce Dubonnet Rouge + 1 maraschino cherry | In an old-fashioned glass almost filled with ice cubes, combine the gin, sherry, Dubonnet, vermouth, and Grand Marnier. Stir well. Garnish with the cherry. | Old-Fashioned Glass
FARMER GILES | 2 ounces gin + 2 dashes bitters + 1/2 ounce dry vermouth + 1 lemon twist + 1/2 ounce sweet vermouth | In a mixing glass half-filled with ice cubes, combine the gin, dry vermouth, sweet vermouth, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist. | Cocktail Glass
FASTLAP | 2 ounces gin + 1 ounce orange juice + 1/2 ounce Pernod + 1/2 teaspoon grenadine | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Pour into an old-fashioned glass. | Old-Fashioned Glass
FAT FACE | 1 1/2 ounces gin + 1 teaspoon grenadine + 1/2 ounce apricot brandy + 1 egg white | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass. | Sour Glass
FIFTY-FIFTY | 1 1/2 ounces gin + 1 cocktail olive + 1 1/2 ounces dry vermouth | In a mixing glass half-filled with ice cubes, combine the gin and vermouth. Stir well. Strain into a cocktail glass and garnish with the olive. | Cocktail Glass
FINO MARTINI | 2 1/2 ounces gin or vodka + 1 lemon twist + 1 1/2 teaspoons fino sherry | In a mixing glass half-filled with ice cubes, combine the gin or vodka and the sherry. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
FLEET STREET | 1 1/2 ounces gin + 1 teaspoon Cointreau or triple sec + 1/2 ounce sweet vermouth + 1 teaspoon dry vermouth + 1 teaspoon lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
FLYING DUTCHMAN | 2 ounces gin + 1/2 ounce Cointreau or triple sec | In an old-fashioned glass almost filled with ice cubes, combine the gin and Cointreau. Stir well. | Old-Fashioned Glass
FRENCH “75” | 1 1/2 ounces gin + 2 teaspoons superfine sugar + 1 1/2 ounces lemon juice + 4 ounces chilled Champagne or sparkling wine + 1 orange slice + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the gin, sugar, and lemon juice. Shake well. Pour into a collins glass. Top with the Champagne. Stir well and garnish with the orange slice and the cherry. | Collins Glass
GENTLEMAN’S CLUB | 1 1/2 ounces gin + 1 ounce sweet vermouth + 1 ounce brandy + 1 ounce club soda | In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well. | Old-Fashioned Glass
GENT OF THE JURY | 2 ounces gin + 1/2 ounce lemon juice + 1/2 ounce cherry brandy + 1 dash bitters + 3 ounces pineapple juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a highball glass almost filled with ice cubes. | Highball Glass
GIBSON | 2 1/2 ounces gin + 3 cocktail onions + 1 1/2 teaspoons dry vermouth | In a mixing glass half-filled with ice cubes, combine the gin and vermouth. Stir well. Strain into a cocktail glass. Garnish with the onions. | Cocktail Glass
GIMLET | 2 ounces gin + 1 lime wedge + 1/2 ounce Rose’s lime juice | Pour the gin and lime juice into a mixing glass halffilled with ice cubes. Stir well. Strain into a cocktail glass and garnish with the lime wedge. | Cocktail Glass
GIN AND BITTER LEMON | 1 1/2 ounces gin + 4 ounces tonic water + 1/2 ounce lemon juice + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the tonic water. | Highball Glass
GIN AND PINK | 2 ounces gin + 2 dashes bitters + 5 ounces tonic water + 1 lemon twist | In a highball glass almost filled with ice cubes, combine the gin, tonic, and bitters. Stir well and garnish with the lemon twist. | Highball Glass
GIN AND SIN | 1 1/2 ounces gin + 1 ounce lemon juice + 1 ounce orange juice + 1/2 teaspoon grenadine | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
GIN AND TONIC | 2 ounces gin + 1 lime wedge + 5 ounces tonic water | Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge. | Highball Glass
GIN BLOODY MARY | 2 1/2 ounces gin + 5 ounces tomato juice + 1/2 ounce lemon juice + 1/8 teaspoon salt + 1/8 teaspoon black pepper + 3 dashes Worcestershire sauce + 1 dash Tabasco sauce + 1 lime wedge | In a shaker half-filled with ice cubes, combine the gin, tomato juice, lemon juice, salt, pepper, Worcestershire, and Tabasco sauce. Shake well. Strain into a highball glass almost filled with ice cubes. Garnish with the lime wedge. | Highball Glass
GIN-CASSIS FIZZ | 2 1/2 ounces gin + 4 ounces club soda + 1 1/2 ounces lemon juice + 1/2 ounce crème de cassis + 1 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass almost filled with ice cubes. Add the club soda. Stir well. Drop the cassis into the center of the drink. | Collins Glass
GIN COBBLER | 1 teaspoon superfine sugar + 2 ounces gin + 1 maraschino cherry + 3 ounces club soda + 1 orange slice + Crushed ice + 1 lemon slice | In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the gin. Stir well. Garnish with the cherry and the orange and lemon slices. | Old-Fashioned Glass
GIN COOLER | 2 ounces gin + 1 lemon wedge + 4 ounces lemon-lime soda | Pour the gin and soda into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon wedge. | Highball Glass
GIN DAISY | 2 ounces gin + 1/2 teaspoon grenadine + 1 ounce lemon juice + 1 maraschino cherry + 1/2 teaspoon superfine sugar + 1 orange slice | In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice. | Old-Fashioned Glass
GIN FIX | 1 teaspoon superfine sugar + Crushed ice + 2 ounces gin + 1 ounce lemon juice + 1 maraschino cherry + 2 teaspoons water + 1 lemon slice | In a shaker half-filled with ice cubes, combine the sugar, lemon juice, and water. Shake well. Strain into a highball glass almost filled with crushed ice. Add the gin. Stir well and garnish with the cherry and the lemon slice. | Highball Glass
GIN FIZZ | 2 1/2 ounces gin + 1 ounce lemon juice + 1 teaspoon superfine sugar + 4 ounces club soda | In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass almost filled with ice cubes. Add the club soda. Stir well. | Collins Glass
GIN SANGAREE | 1 teaspoon superfine sugar + 1/2 ounce tawny port + 2 teaspoons water + 1 1/2 ounces gin + Crushed ice + 2 1/2 ounces club soda + 1 lemon twist + 1/8 teaspoon grated nutmeg + 1/8 teaspoon ground cinnamon | In a highball glass, dissolve the sugar in the water and gin. Almost fill the glass with crushed ice and add the club soda. Float the port on top. Garnish with the lemon twist and a sprinkling of nutmeg and cinnamon. | Highball Glass
GIN SLING | 1 teaspoon superfine sugar + 1 ounce lemon juice + 2 ounces gin + 2 teaspoons water + 1 lemon twist | In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and gin. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the lemon twist. | Old-Fashioned Glass
GIN SMASH | 4 fresh mint sprigs + 1 ounce club soda + 1 teaspoon superfine sugar + 2 1/2 ounces gin + 1 lemon twist | In an old-fashioned glass, muddle the mint sprigs lightly with the sugar and club soda. Fill the glass with ice cubes. Add the gin. Stir well and garnish with the lemon twist. | Old-Fashioned Glass
GIN SOUR | 2 ounces gin + 1 ounce lemon juice + 1/2 teaspoon superfine sugar + 1 orange slice + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry. | Sour Glass
